EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
05-05-2017,09:30:00,41.65,Sell,05-05-2017,13:12:00,54.15,22300PE,-312.5
05-05-2017,10:11:00,109.25,Buy,05-05-2017,12:01:00,87.4,22800CE,-546.25
05-05-2017,12:01:00,100.35,Buy,05-05-2017,14:04:00,100.4,22500PE,1.25
05-05-2017,11:52:00,40.95,Sell,05-05-2017,15:15:00,30.3,23000CE,266.25
05-05-2017,14:08:00,41.65,Sell,05-05-2017,15:15:00,45.8,22300PE,-103.75
08-05-2017,09:30:00,39.7,Sell,08-05-2017,09:49:00,51.6,22900CE,-297.5
08-05-2017,09:30:00,51.15,Sell,08-05-2017,15:15:00,26.85,22400PE,607.5
08-05-2017,09:47:00,73.6,Buy,08-05-2017,15:15:00,92.9,22800CE,482.5
09-05-2017,09:30:00,35.6,Sell,09-05-2017,15:15:00,20.75,23000CE,371.25
09-05-2017,09:30:00,52.9,Sell,09-05-2017,09:38:00,68.75,22600PE,-396.25
09-05-2017,09:37:00,95.4,Buy,09-05-2017,12:43:00,85.85,22700PE,-238.75
09-05-2017,12:43:00,52.9,Sell,09-05-2017,15:15:00,50.6,22600PE,57.5
10-05-2017,09:30:00,40.9,Sell,10-05-2017,10:01:00,53.15,22900CE,-306.25
10-05-2017,09:30:00,35,Sell,10-05-2017,15:15:00,11.1,22600PE,597.5
10-05-2017,09:57:00,87,Buy,10-05-2017,11:42:00,78.3,22800CE,-217.5
10-05-2017,11:42:00,40.9,Sell,10-05-2017,12:28:00,53.15,22900CE,-306.25
11-05-2017,09:30:00,20.55,Sell,11-05-2017,15:15:00,0.05,23000CE,512.5
11-05-2017,09:30:00,34.55,Sell,11-05-2017,10:09:00,44.9,22900PE,-258.75
11-05-2017,12:14:00,70.15,Buy,11-05-2017,12:24:00,56.1,22900CE,-351.25
11-05-2017,09:42:00,99.65,Buy,11-05-2017,11:11:00,79.7,23000PE,-498.75
11-05-2017,10:31:00,34.55,Sell,11-05-2017,15:03:00,44.9,22900PE,-258.75
12-05-2017,09:30:00,47.95,Sell,12-05-2017,15:15:00,20.35,23000CE,690
12-05-2017,09:30:00,48.5,Sell,12-05-2017,13:58:00,63.05,22500PE,-363.75
12-05-2017,09:36:00,80.75,Buy,12-05-2017,11:16:00,64.6,22600PE,-403.75
15-05-2017,09:30:00,57.35,Sell,15-05-2017,15:15:00,63.25,22900CE,-147.5
15-05-2017,09:30:00,43,Sell,15-05-2017,15:15:00,34.3,22600PE,217.5
15-05-2017,11:33:00,111.05,Buy,15-05-2017,13:21:00,88.85,22800CE,-555
15-05-2017,09:47:00,81.8,Buy,15-05-2017,10:19:00,65.45,22700PE,-408.75
16-05-2017,09:30:00,37,Sell,16-05-2017,14:07:00,48.1,23000CE,-277.5
16-05-2017,09:30:00,41.45,Sell,16-05-2017,10:04:00,53.9,22700PE,-311.25
16-05-2017,13:50:00,79.25,Buy,16-05-2017,15:15:00,94.35,22900CE,377.5
16-05-2017,10:02:00,84,Buy,16-05-2017,11:10:00,84,22800PE,3.55E-13
16-05-2017,13:01:00,41.45,Sell,16-05-2017,15:15:00,22.7,22700PE,468.75
17-05-2017,09:30:00,30.95,Sell,17-05-2017,09:34:00,40.25,23000CE,-232.5
17-05-2017,09:30:00,52.4,Sell,17-05-2017,15:15:00,22.5,22800PE,747.5
17-05-2017,09:34:00,75.5,Buy,17-05-2017,11:23:00,67.95,22900CE,-188.75
17-05-2017,11:24:00,30.95,Sell,17-05-2017,13:16:00,40.25,23000CE,-232.5
18-05-2017,09:30:00,52,Sell,18-05-2017,15:15:00,0.1,22800CE,1297.5
18-05-2017,09:30:00,39.75,Sell,18-05-2017,09:51:00,51.7,22800PE,-298.75
